STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
US1TXBXR297,29.5917,-98.3427,246.9,6/9/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/10/14,,,1.26,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/11/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/12/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/13/14,,,0.07,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/14/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/15/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/16/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/19/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/21/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/22/14,,,0.05,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/23/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/25/14,,,1.19,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/26/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/27/14,,,0.24,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/28/14,,,0.44,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/29/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,6/30/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/1/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/2/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/3/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/4/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/5/14,,,0.14,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/6/14,,,0.01,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/7/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/10/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/14/14,,,0,,,,,,,,,,,
US1TXBXR297,29.5917,-98.3427,246.9,7/15/14,,,0,,,,,,,,,,,
